,YEAR,JOB_TITLE,BRANCH,JOB_LOCATION,LOC_STATE,LOC_REGION
5234,2015,Electrical project manager,EEE,Jodhpur,Rajasthan,West
5235,2015,Hardware engineer,EEE,Mysore,Karnataka,South
5236,2014,Process design engineer,CHEM,Vellore,Tamil Nadu,South
5237,2021,Environmental waste management,CHEM,Tirupathi,Andhra Pradesh,South
5238,2020,System architect,CSE/IT,Srinagar,Jammu and Kashmir,North
5239,2013,Plant process engineer,CHEM,Puri,Orissa,Central
5240,2015,Geotechnical engineer,CIV,Mysore,Karnataka,South
5241,2018,Structural engineer,MEC,Shimla,Himachal Pradesh,North
5242,2011,Network planning engineer,ECE,Gaya,Bihar,Central
5243,2020,technician,CHEM,Dhanbad,Jharkhnad,Central
5244,2013,Web developer,CSE/IT,Kanpur,Uttar Pradesh,North
5245,2018,Process safety engineer,CHEM,Jamshedpur,Jharkhnad,Central
5246,2021,Network planning engineer,ECE,Panipat,Haryana,West
5247,2021,Public health engineer,CIV,Roorkee,Uttarakhand,North
5248,2018,Management consultant,MEC,Durgapur,West Bengal,East
5249,2012,Public health engineer,CIV,Raipur,Chattisgarh,Central
5250,2016,Land surveyor,CIV,Puri,Orissa,Central
5251,2014,Production engineer,MEC,Ahmedabad,Gujarat,West
5252,2011,Thermal engineer,MEC,Surat,Gujarat,West
5253,2014,Construction manager,CIV,Lucknow,Uttar Pradesh,North
5254,2012,Structural engineer,MEC,Hyderabad,Telangana,South
5255,2019,Service engineer,ECE,Panaji,Goa,South
5256,2014,Environmental waste management,CHEM,Udaipur,Rajasthan,West
5257,2013,Electronics design engineer,ECE,Bengaluru,Karnataka,South
5258,2016,Network planning engineer,ECE,Panipat,Haryana,West
5259,2020,Instrumentation engineer,ECE,Ahmedabad,Gujarat,West
5260,2021,Urban planning engineer,CIV,Kohina,Seven Sisters,East
5261,2019,Service engineer,ECE,Nagpur,Maharashtra,Central
5262,2013,Electronics design engineer,ECE,Mumbai,Maharashtra,Central
5263,2013,Thermal engineer,MEC,Itanagar,Seven Sisters,East
5264,2020,Microelectrical engineer,EEE,Ahmedabad,Gujarat,West
5265,2015,Service engineer,ECE,Gurgaon,Haryana,West
5266,2016,Software developer,CSE/IT,Kanpur,Uttar Pradesh,North
5267,2019,Service engineer,ECE,Chennai,Tamil Nadu,South
5268,2013,Electrical design engineer,EEE,Gandhinagar,Gujarat,West
5269,2021,Land surveyor,CIV,Srinagar,Jammu and Kashmir,North
5270,2018,IT project manager,CSE/IT,Kochi,Kerala,South
5271,2020,Management consultant,MEC,Silchar,Seven Sisters,East
5272,2013,Computer network architect,CSE/IT,Udaipur,Rajasthan,West
5273,2016,Computer network architect,CSE/IT,Udaipur,Rajasthan,West
5274,2013,IT project manager,CSE/IT,Kanpur,Uttar Pradesh,North
5275,2014,Aerospace engineer,MEC,Vadodara,Gujarat,West
5276,2018,Chemical engineer,CHEM,Lucknow,Uttar Pradesh,North
5277,2015,Structural engineer,MEC,Amritsar,Punjab,North
5278,2019,Manufacturing engineer,MEC,Ahmedabad,Gujarat,West
5279,2019,Structural engineer,MEC,Imphal,Seven Sisters,East
5280,2014,Management consultant,MEC,Jammu,Jammu and Kashmir,North
5281,2012,Instrumentation engineer,ECE,Kohina,Seven Sisters,East
5282,2011,AI engineer,CSE/IT,Indore,Madhya Pradesh,Central
5283,2017,Process design engineer,CHEM,Nagpur,Maharashtra,Central
5284,2019,Material engineer,CHEM,Gandhinagar,Gujarat,West
5285,2020,Microelectrical engineer,EEE,Udaipur,Rajasthan,West
5286,2019,Substation technician,EEE,Dharwad,Karnataka,South
5287,2014,Substation technician,EEE,Jodhpur,Rajasthan,West
5288,2012,Field test engineer,ECE,Surat,Gujarat,West
5289,2017,Embedded system engineer,ECE,Chandigarh,Punjab,North
5290,2014,Product designer,MEC,Guwahati,Seven Sisters,East
5291,2013,Production engineer,MEC,Gwalior,Madhya Pradesh,Central
5292,2012,Hardware engineer,EEE,Raipur,Chattisgarh,Central
5293,2017,Telecommunication engineer,EEE,Ahmedabad,Gujarat,West
5294,2020,Instrumentation engineer,ECE,Gangtok,Seven Sisters,East
5295,2021,Network planning engineer,ECE,Udaipur,Rajasthan,West
5296,2011,Software analyst,ECE,Roorkee,Uttarakhand,North
5297,2011,Transportation engineer,CIV,Hyderabad,Telangana,South
5298,2013,Manufacturing engineer,MEC,Vellore,Tamil Nadu,South
5299,2016,Thermal engineer,MEC,Bilaspur,Himachal Pradesh,North
5300,2014,Hardware engineer,EEE,Bilaspur,Himachal Pradesh,North
5301,2011,Land surveyor,CIV,Ahmedabad,Gujarat,West
5302,2019,Plant process engineer,CHEM,Dharwad,Karnataka,South
5303,2012,Field test engineer,ECE,Bhopal,Madhya Pradesh,Central
5304,2012,Petroleum engineer,CHEM,Ahmedabad,Gujarat,West
5305,2016,Electrical engineer,EEE,Gangtok,Seven Sisters,East
5306,2021,Electrical engineer,EEE,Vijayawada,Andhra Pradesh,South
5307,2014,Urban planning engineer,CIV,Silchar,Seven Sisters,East
5308,2021,Electronics engineer,ECE,Madurai,Tamil Nadu,South
5309,2021,Management consultant,MEC,Itanagar,Seven Sisters,East
5310,2013,Production engineer,MEC,Haridwar,Uttarakhand,North
5311,2018,Public health engineer,CIV,Kochi,Kerala,South
5312,2011,Database administrator,CSE/IT,Jaipur,Rajasthan,West
5313,2020,Urban planning engineer,CIV,Jaipur,Rajasthan,West
5314,2016,Product engineer,CHEM,Gandhinagar,Gujarat,West
5315,2012,Systems engineer,EEE,Ranchi,Jharkhnad,Central
5316,2014,Construction manager,CIV,Surat,Gujarat,West
5317,2019,Hardware engineer,EEE,Bilaspur,Himachal Pradesh,North
5318,2015,Telecom engineer,ECE,Panaji,Goa,South
5319,2017,Process safety engineer,CHEM,Udaipur,Rajasthan,West
5320,2017,Electronics design engineer,ECE,Gaya,Bihar,Central
5321,2014,Hardware engineer,EEE,Durgapur,West Bengal,East
5322,2020,Transportation engineer,CIV,Mysore,Karnataka,South
5323,2017,Instrumentation engineer,ECE,Gandhinagar,Gujarat,West
5324,2014,Telecom engineer,ECE,Raipur,Chattisgarh,Central
5325,2017,Geotechnical engineer,CIV,Jaipur,Rajasthan,West
5326,2017,Quality engineer,MEC,Gurgaon,Haryana,West
5327,2021,Service engineer,ECE,Srinagar,Jammu and Kashmir,North
5328,2016,IT project manager,CSE/IT,Mysore,Karnataka,South
5329,2020,UX designer,CSE/IT,Kolkata,West Bengal,East
5330,2020,Database administrator,CSE/IT,Chennai,Tamil Nadu,South
5331,2018,App developer,CSE/IT,Puri,Orissa,Central
5332,2018,Drafter,CIV,Thiruvananthapuram,Kerala,South
5333,2013,Product engineer,CHEM,Haridwar,Uttarakhand,North
5334,2019,Microelectrical engineer,EEE,Raipur,Chattisgarh,Central
5335,2013,Public health engineer,CIV,Indore,Madhya Pradesh,Central
5336,2021,Management consultant,MEC,Guwahati,Seven Sisters,East
5337,2014,Product designer,MEC,Surat,Gujarat,West
5338,2013,Environmental engineer,CIV,Visakhapatnam,Andhra Pradesh,South
5339,2012,Field test engineer,ECE,Imphal,Seven Sisters,East
5340,2018,Quality engineer,MEC,Roorkee,Uttarakhand,North
5341,2018,Service engineer,ECE,Dehradun,Uttarakhand,North
5342,2021,Chemical plant director,CHEM,Itanagar,Seven Sisters,East
5343,2017,Process design engineer,CHEM,Mumbai,Maharashtra,Central
5344,2020,Substation technician,EEE,Gaya,Bihar,Central
5345,2018,Urban planning engineer,CIV,Dispur,Seven Sisters,East
5346,2020,Urban planning engineer,CIV,Khammam,Telangana,South
5347,2011,Structural engineer,MEC,Bilaspur,Himachal Pradesh,North
5348,2019,Petroleum engineer,CHEM,Ranchi,Jharkhnad,Central
5349,2015,Quality engineer,MEC,Warangal,Telangana,South
5350,2018,Environmental waste management,CHEM,Guwahati,Seven Sisters,East
5351,2013,Petroleum engineer,CHEM,Shimla,Himachal Pradesh,North
5352,2020,Transportation engineer,CIV,Bengaluru,Karnataka,South
5353,2021,Product designer,MEC,Durgapur,West Bengal,East
5354,2018,Controls engineer,EEE,Shimla,Himachal Pradesh,North
5355,2015,Microelectrical engineer,EEE,Gangtok,Seven Sisters,East
5356,2012,Petroleum engineer,CHEM,Gangtok,Seven Sisters,East
5357,2020,Telecommunication engineer,EEE,Nellore,Andhra Pradesh,South
5358,2016,Substation technician,EEE,Kanpur,Uttar Pradesh,North
5359,2011,Urban planning engineer,CIV,Dispur,Seven Sisters,East
5360,2021,Management consultant,MEC,Jammu,Jammu and Kashmir,North
5361,2011,Environmental engineer,CIV,Warangal,Telangana,South
5362,2014,Automation engineer,MEC,Shillong,Seven Sisters,East
5363,2015,Microelectrical engineer,EEE,Raipur,Chattisgarh,Central
5364,2021,Manufacturing engineer,MEC,Jamshedpur,Jharkhnad,Central
5365,2020,System architect,CSE/IT,Gangtok,Seven Sisters,East
5366,2016,Engineering management,CIV,Shillong,Seven Sisters,East
5367,2021,Geotechnical engineer,CIV,Vijayawada,Andhra Pradesh,South
5368,2011,Telecom engineer,ECE,Amritsar,Punjab,North
5369,2014,Material engineer,CHEM,Silchar,Seven Sisters,East
5370,2015,Service engineer,ECE,Chennai,Tamil Nadu,South
5371,2016,Database administrator,CSE/IT,Vijayawada,Andhra Pradesh,South
5372,2017,Chemical engineer,CHEM,Mysore,Karnataka,South
5373,2012,Information security analyst,CSE/IT,Kochi,Kerala,South
5374,2015,Quality engineer,MEC,Aizawal,Seven Sisters,East
5375,2012,Quality engineer,MEC,Jammu,Jammu and Kashmir,North
5376,2016,Software analyst,ECE,Jalandhar,Punjab,North
5377,2018,Hardware engineer,EEE,Lucknow,Uttar Pradesh,North
5378,2020,Petroleum engineer,CHEM,Panipat,Haryana,West
5379,2011,Hardware engineer,EEE,Ahmedabad,Gujarat,West
5380,2020,Microelectrical engineer,EEE,Kanpur,Uttar Pradesh,North
5381,2019,Geotechnical engineer,CIV,Noida,Uttar Pradesh,North
5382,2011,Field test engineer,ECE,Jodhpur,Rajasthan,West
5383,2013,UX designer,CSE/IT,Silchar,Seven Sisters,East
5384,2011,Product designer,MEC,Gandhinagar,Gujarat,West
5385,2016,Computer network architect,CSE/IT,Vadodara,Gujarat,West
5386,2018,UX designer,CSE/IT,Hyderabad,Telangana,South
5387,2017,Engineering management,CIV,Kochi,Kerala,South
5388,2018,Network planning engineer,ECE,Panipat,Haryana,West
5389,2021,Structural engineer,MEC,Dehradun,Uttarakhand,North
5390,2020,Embedded system engineer,ECE,Gandhinagar,Gujarat,West
5391,2013,Electrical engineer,EEE,Gurgaon,Haryana,West
5392,2018,technician,CHEM,Patna,Bihar,Central
5393,2014,Electrical engineer,EEE,Lucknow,Uttar Pradesh,North
5394,2021,Petroleum engineer,CHEM,Allahabad,Uttar Pradesh,North
5395,2014,Communication engineer,ECE,Amritsar,Punjab,North
5396,2013,Material engineer,CHEM,Panipat,Haryana,West
5397,2021,Controls engineer,EEE,Gwalior,Madhya Pradesh,Central
5398,2020,Electronics engineer,ECE,Vadodara,Gujarat,West
5399,2011,Computer network architect,CSE/IT,Mysore,Karnataka,South
5400,2013,Construction manager,CIV,Jamshedpur,Jharkhnad,Central
5401,2016,Chemical engineer,CHEM,Chennai,Tamil Nadu,South
5402,2017,Chemical engineer,CHEM,Itanagar,Seven Sisters,East
5403,2017,Product engineer,CHEM,Raigarh,Chattisgarh,Central
5404,2011,Chemical engineer,CHEM,Vijayawada,Andhra Pradesh,South
5405,2020,Embedded system engineer,ECE,Aizawal,Seven Sisters,East
5406,2015,Production engineer,MEC,Silchar,Seven Sisters,East
5407,2014,Software developer,CSE/IT,Gandhinagar,Gujarat,West
5408,2012,Environmental waste management,CHEM,Kolkata,West Bengal,East
5409,2020,Product designer,MEC,Ranchi,Jharkhnad,Central
5410,2020,Systems engineer,EEE,Visakhapatnam,Andhra Pradesh,South
5411,2016,Management consultant,MEC,Haridwar,Uttarakhand,North
5412,2021,Product engineer,CHEM,Kochi,Kerala,South
5413,2017,Environmental engineer,CIV,Udaipur,Rajasthan,West
5414,2011,Software developer,CSE/IT,Vijayawada,Andhra Pradesh,South
5415,2019,Construction manager,CIV,Gaya,Bihar,Central
5416,2020,Network planning engineer,ECE,Gangtok,Seven Sisters,East
5417,2013,System architect,CSE/IT,Udaipur,Rajasthan,West
5418,2011,Public health engineer,CIV,Bhopal,Madhya Pradesh,Central
5419,2011,Chemical engineer,CHEM,Rourkela,Orissa,Central
5420,2020,Product designer,MEC,Pune,Maharashtra,Central
5421,2013,Production engineer,MEC,Hyderabad,Telangana,South
5422,2018,Systems engineer,EEE,Surat,Gujarat,West
5423,2016,Process safety engineer,CHEM,Ranchi,Jharkhnad,Central
5424,2020,App developer,CSE/IT,Tirupathi,Andhra Pradesh,South
5425,2014,Product designer,MEC,Bengaluru,Karnataka,South
5426,2019,Chemical plant director,CHEM,Khammam,Telangana,South
5427,2020,Geotechnical engineer,CIV,Bhubaneswar,Orissa,Central
5428,2016,Chemical plant director,CHEM,Kohina,Seven Sisters,East
5429,2013,Electronics engineer,ECE,Chandigarh,Punjab,North
5430,2015,Urban planning engineer,CIV,Kanpur,Uttar Pradesh,North
5431,2016,Electrical project manager,EEE,Shimla,Himachal Pradesh,North
5432,2012,Telecom engineer,ECE,Dehradun,Uttarakhand,North
5433,2021,Hardware engineer,EEE,Nellore,Andhra Pradesh,South
5434,2016,Environmental waste management,CHEM,Madurai,Tamil Nadu,South
5435,2013,Public health engineer,CIV,Hyderabad,Telangana,South
5436,2020,Telecom engineer,ECE,Mysore,Karnataka,South
5437,2014,Microelectrical engineer,EEE,Imphal,Seven Sisters,East
5438,2014,Database administrator,CSE/IT,Raigarh,Chattisgarh,Central
5439,2015,Environmental engineer,CIV,Srinagar,Jammu and Kashmir,North
5440,2017,Quality engineer,MEC,Kanpur,Uttar Pradesh,North
5441,2018,Manufacturing engineer,MEC,Ranchi,Jharkhnad,Central
5442,2016,Urban planning engineer,CIV,Roorkee,Uttarakhand,North
5443,2019,Information security analyst,CSE/IT,Haridwar,Uttarakhand,North
5444,2017,Substation technician,EEE,Vadodara,Gujarat,West
5445,2011,Chemical plant director,CHEM,Kochi,Kerala,South
5446,2014,Construction engineer,MEC,Madurai,Tamil Nadu,South
5447,2014,Communication engineer,ECE,Roorkee,Uttarakhand,North
5448,2015,Land surveyor,CIV,Vellore,Tamil Nadu,South
5449,2016,Computer network architect,CSE/IT,Haridwar,Uttarakhand,North
5450,2021,Engineering management,CIV,Allahabad,Uttar Pradesh,North
5451,2012,Embedded system engineer,ECE,Vijayawada,Andhra Pradesh,South
5452,2020,Product engineer,CHEM,Panaji,Goa,South
5453,2012,Public health engineer,CIV,Durgapur,West Bengal,East
5454,2011,Thermal engineer,MEC,Silchar,Seven Sisters,East
5455,2018,Software analyst,ECE,Surat,Gujarat,West
5456,2020,Production engineer,MEC,Vadodara,Gujarat,West
5457,2020,Engineering management,CIV,Chandigarh,Punjab,North
5458,2018,Product designer,MEC,Udaipur,Rajasthan,West
5459,2013,IT project manager,CSE/IT,Hyderabad,Telangana,South
5460,2020,Electrical engineer,EEE,Puri,Orissa,Central
5461,2021,Urban planning engineer,CIV,Srinagar,Jammu and Kashmir,North
5462,2016,Quality engineer,MEC,Itanagar,Seven Sisters,East
5463,2015,Software developer,CSE/IT,Gangtok,Seven Sisters,East
5464,2012,Computer network architect,CSE/IT,Bhubaneswar,Orissa,Central
5465,2017,Urban planning engineer,CIV,Kohina,Seven Sisters,East
5466,2014,Software analyst,ECE,Rourkela,Orissa,Central
5467,2013,Instrumentation engineer,ECE,Guwahati,Seven Sisters,East
5468,2012,Production engineer,MEC,Shillong,Seven Sisters,East
5469,2011,Software analyst,ECE,Panaji,Goa,South
5470,2020,Chemical engineer,CHEM,Ahmedabad,Gujarat,West
5471,2018,Architect,CIV,Thiruvananthapuram,Kerala,South
5472,2013,Software developer,CSE/IT,Silchar,Seven Sisters,East
5473,2020,Network planning engineer,ECE,Jodhpur,Rajasthan,West
5474,2019,Information security analyst,CSE/IT,Tirupathi,Andhra Pradesh,South
5475,2013,Electrical project manager,EEE,Udaipur,Rajasthan,West
5476,2018,System architect,CSE/IT,Dispur,Seven Sisters,East
5477,2021,Production engineer,MEC,Vadodara,Gujarat,West
5478,2017,Aerospace engineer,MEC,Jalandhar,Punjab,North
5479,2012,IT project manager,CSE/IT,Chennai,Tamil Nadu,South
5480,2015,Construction engineer,MEC,Raigarh,Chattisgarh,Central
5481,2013,Process design engineer,CHEM,Raipur,Chattisgarh,Central
5482,2019,Petroleum engineer,CHEM,Bhubaneswar,Orissa,Central
5483,2014,Product engineer,CHEM,Puri,Orissa,Central
5484,2013,Plant process engineer,CHEM,Ranchi,Jharkhnad,Central
5485,2014,Network planning engineer,ECE,Haridwar,Uttarakhand,North
5486,2015,Geotechnical engineer,CIV,Raigarh,Chattisgarh,Central
5487,2016,Engineering management,CIV,Dispur,Seven Sisters,East
5488,2021,Electrical design engineer,EEE,Warangal,Telangana,South
5489,2012,Embedded system engineer,ECE,Vadodara,Gujarat,West
5490,2012,Urban planning engineer,CIV,Jodhpur,Rajasthan,West
5491,2019,IT project manager,CSE/IT,Gurgaon,Haryana,West
5492,2016,Engineering management,CIV,Panaji,Goa,South
5493,2019,Land surveyor,CIV,Mumbai,Maharashtra,Central
5494,2020,Instrumentation engineer,ECE,Kochi,Kerala,South
5495,2017,System architect,CSE/IT,Kohina,Seven Sisters,East
5496,2018,Environmental waste management,CHEM,Srinagar,Jammu and Kashmir,North
5497,2019,Software developer,CSE/IT,Guwahati,Seven Sisters,East
5498,2013,Engineering management,CIV,Gwalior,Madhya Pradesh,Central
5499,2021,Communication engineer,ECE,Nagpur,Maharashtra,Central
5500,2017,Chemical engineer,CHEM,Raipur,Chattisgarh,Central
5501,2014,Electronics design engineer,ECE,Haridwar,Uttarakhand,North
5502,2016,Electrical design engineer,EEE,Shillong,Seven Sisters,East
5503,2020,App developer,CSE/IT,Visakhapatnam,Andhra Pradesh,South
5504,2012,Environmental waste management,CHEM,Srinagar,Jammu and Kashmir,North
5505,2021,Database administrator,CSE/IT,Jaipur,Rajasthan,West
5506,2015,Telecom engineer,ECE,Bilaspur,Himachal Pradesh,North
5507,2013,Network planning engineer,ECE,Mysore,Karnataka,South
5508,2020,Systems engineer,EEE,Mysore,Karnataka,South
5509,2012,Software analyst,ECE,Chandigarh,Punjab,North
5510,2011,Communication engineer,ECE,Roorkee,Uttarakhand,North
5511,2021,Information security analyst,CSE/IT,Gandhinagar,Gujarat,West
5512,2021,Management consultant,MEC,Jalandhar,Punjab,North
5513,2020,Electrical design engineer,EEE,Puri,Orissa,Central
5514,2017,Electronics engineer,ECE,Indore,Madhya Pradesh,Central
5515,2021,Manufacturing engineer,MEC,Roorkee,Uttarakhand,North
5516,2017,Field test engineer,ECE,Gwalior,Madhya Pradesh,Central
5517,2020,Manufacturing engineer,MEC,Ahmedabad,Gujarat,West
5518,2021,Electronics engineer,ECE,Nagpur,Maharashtra,Central
5519,2013,Thermal engineer,MEC,Tirupathi,Andhra Pradesh,South
5520,2020,Software developer,CSE/IT,Gaya,Bihar,Central
5521,2018,Environmental engineer,CIV,Chennai,Tamil Nadu,South
5522,2013,Electronics engineer,ECE,Jamshedpur,Jharkhnad,Central
5523,2013,technician,CHEM,Chennai,Tamil Nadu,South
5524,2016,IT project manager,CSE/IT,Lucknow,Uttar Pradesh,North
5525,2014,Process safety engineer,CHEM,Vadodara,Gujarat,West
5526,2015,Telecommunication engineer,EEE,Nagpur,Maharashtra,Central
5527,2021,Telecommunication engineer,EEE,Indore,Madhya Pradesh,Central
5528,2014,Chemical engineer,CHEM,Bhopal,Madhya Pradesh,Central
5529,2019,technician,CHEM,Jodhpur,Rajasthan,West
5530,2011,Environmental waste management,CHEM,Srinagar,Jammu and Kashmir,North
5531,2017,Electronics design engineer,ECE,Imphal,Seven Sisters,East
5532,2015,Substation technician,EEE,Puri,Orissa,Central
5533,2012,Systems engineer,EEE,Dispur,Seven Sisters,East
5534,2019,Engineering management,CIV,Surat,Gujarat,West
5535,2019,Information security analyst,CSE/IT,Howrah,West Bengal,East
5536,2017,Telecom engineer,ECE,Vadodara,Gujarat,West
5537,2017,Engineering management,CIV,Lucknow,Uttar Pradesh,North
5538,2020,Construction engineer,MEC,Lucknow,Uttar Pradesh,North
5539,2015,Instrumentation engineer,ECE,Mysore,Karnataka,South
5540,2013,Telecommunication engineer,EEE,Nellore,Andhra Pradesh,South
5541,2013,Architect,CIV,Bhopal,Madhya Pradesh,Central
5542,2014,Broadcast engineer,EEE,Pune,Maharashtra,Central
5543,2013,Service engineer,ECE,Warangal,Telangana,South
5544,2017,Thermal engineer,MEC,Itanagar,Seven Sisters,East
5545,2014,Environmental engineer,CIV,Nellore,Andhra Pradesh,South
5546,2011,Structural engineer,MEC,Nellore,Andhra Pradesh,South
5547,2015,Public health engineer,CIV,Pune,Maharashtra,Central
5548,2015,Substation technician,EEE,Visakhapatnam,Andhra Pradesh,South
5549,2013,Architect,CIV,Bhopal,Madhya Pradesh,Central
5550,2015,Chemical engineer,CHEM,Bhubaneswar,Orissa,Central
5551,2017,Electrical project manager,EEE,Bhopal,Madhya Pradesh,Central
5552,2019,Embedded system engineer,ECE,Jamshedpur,Jharkhnad,Central
5553,2016,Construction engineer,MEC,Srinagar,Jammu and Kashmir,North
5554,2013,Architect,CIV,Bhopal,Madhya Pradesh,Central
5555,2013,Electrical engineer,EEE,Tirupathi,Andhra Pradesh,South
5556,2018,Database administrator,CSE/IT,Roorkee,Uttarakhand,North
5557,2011,Embedded system engineer,ECE,Dispur,Seven Sisters,East
5558,2018,Communication engineer,ECE,Amritsar,Punjab,North
5559,2021,Public health engineer,CIV,Dispur,Seven Sisters,East
5560,2014,Land surveyor,CIV,Vellore,Tamil Nadu,South
5561,2017,Production engineer,MEC,Dhanbad,Jharkhnad,Central
5562,2021,System architect,CSE/IT,Rourkela,Orissa,Central
5563,2021,Service engineer,ECE,Raigarh,Chattisgarh,Central
5564,2020,Controls engineer,EEE,Bengaluru,Karnataka,South
5565,2012,Field test engineer,ECE,Ranchi,Jharkhnad,Central
5566,2019,System architect,CSE/IT,Raigarh,Chattisgarh,Central
5567,2012,Service engineer,ECE,Bilaspur,Himachal Pradesh,North
5568,2021,Construction engineer,MEC,Jaipur,Rajasthan,West
5569,2013,IT project manager,CSE/IT,Indore,Madhya Pradesh,Central
5570,2015,Product engineer,CHEM,Nagpur,Maharashtra,Central
5571,2020,Broadcast engineer,EEE,Panipat,Haryana,West
5572,2017,Product designer,MEC,Jamshedpur,Jharkhnad,Central
5573,2019,Urban planning engineer,CIV,Itanagar,Seven Sisters,East
5574,2018,Land surveyor,CIV,Ahmedabad,Gujarat,West
5575,2013,Process design engineer,CHEM,Jalandhar,Punjab,North
5576,2020,Process safety engineer,CHEM,Dispur,Seven Sisters,East
5577,2020,Field test engineer,ECE,Hyderabad,Telangana,South
5578,2016,Environmental engineer,CIV,Patna,Bihar,Central
5579,2013,Land surveyor,CIV,Bhopal,Madhya Pradesh,Central
5580,2015,Structural engineer,MEC,Kolkata,West Bengal,East
5581,2016,Instrumentation engineer,ECE,Vijayawada,Andhra Pradesh,South
5582,2020,Field test engineer,ECE,Shimla,Himachal Pradesh,North
5583,2013,Software analyst,ECE,Guwahati,Seven Sisters,East
5584,2011,Embedded system engineer,ECE,Vadodara,Gujarat,West
5585,2019,Controls engineer,EEE,Noida,Uttar Pradesh,North
5586,2014,Chemical engineer,CHEM,Haridwar,Uttarakhand,North
5587,2014,Service engineer,ECE,Mumbai,Maharashtra,Central
5588,2011,App developer,CSE/IT,Jalandhar,Punjab,North
5589,2019,Structural engineer,MEC,Kohina,Seven Sisters,East
5590,2018,Product engineer,CHEM,Silchar,Seven Sisters,East
5591,2020,Product engineer,CHEM,Khammam,Telangana,South
5592,2016,Substation technician,EEE,Jamshedpur,Jharkhnad,Central
5593,2013,Communication engineer,ECE,Rourkela,Orissa,Central
5594,2011,Plant process engineer,CHEM,Gwalior,Madhya Pradesh,Central
5595,2015,Urban planning engineer,CIV,Guwahati,Seven Sisters,East
5596,2019,Drafter,CIV,Gandhinagar,Gujarat,West
5597,2019,UX designer,CSE/IT,Jaipur,Rajasthan,West
5598,2020,AI engineer,CSE/IT,Gurgaon,Haryana,West
5599,2013,Automation engineer,MEC,Surat,Gujarat,West
5600,2012,Petroleum engineer,CHEM,Indore,Madhya Pradesh,Central
5601,2015,Process safety engineer,CHEM,Hyderabad,Telangana,South
5602,2019,Communication engineer,ECE,Jamshedpur,Jharkhnad,Central
5603,2020,Land surveyor,CIV,Kanpur,Uttar Pradesh,North
5604,2013,Web developer,CSE/IT,Vellore,Tamil Nadu,South
5605,2018,Instrumentation engineer,ECE,Gwalior,Madhya Pradesh,Central
5606,2021,Product designer,MEC,Srinagar,Jammu and Kashmir,North
5607,2011,Automation engineer,MEC,Howrah,West Bengal,East
5608,2013,Engineering management,CIV,Kanpur,Uttar Pradesh,North
5609,2018,Management consultant,MEC,Bengaluru,Karnataka,South
5610,2021,Telecommunication engineer,EEE,Kochi,Kerala,South
5611,2018,Telecommunication engineer,EEE,Nagpur,Maharashtra,Central
5612,2014,Manufacturing engineer,MEC,Lucknow,Uttar Pradesh,North
5613,2019,Database administrator,CSE/IT,Dehradun,Uttarakhand,North
5614,2020,Software developer,CSE/IT,Allahabad,Uttar Pradesh,North
5615,2014,Chemical plant director,CHEM,Raigarh,Chattisgarh,Central
5616,2011,Construction engineer,MEC,Shimla,Himachal Pradesh,North
5617,2021,Process safety engineer,CHEM,Jaipur,Rajasthan,West
5618,2016,Embedded system engineer,ECE,Silchar,Seven Sisters,East
5619,2021,Plant process engineer,CHEM,Durgapur,West Bengal,East
5620,2015,Process safety engineer,CHEM,Patna,Bihar,Central
5621,2011,Web developer,CSE/IT,Itanagar,Seven Sisters,East
5622,2013,Quality engineer,MEC,Gangtok,Seven Sisters,East
5623,2015,Electrical project manager,EEE,Raigarh,Chattisgarh,Central
5624,2013,Geotechnical engineer,CIV,Shillong,Seven Sisters,East
5625,2011,Software developer,CSE/IT,Dhanbad,Jharkhnad,Central
5626,2017,Transportation engineer,CIV,Panaji,Goa,South
5627,2014,Electronics design engineer,ECE,Vadodara,Gujarat,West
5628,2018,Petroleum engineer,CHEM,Shimla,Himachal Pradesh,North
5629,2017,Database administrator,CSE/IT,Noida,Uttar Pradesh,North
5630,2015,Embedded system engineer,ECE,Kohina,Seven Sisters,East
5631,2019,Construction manager,CIV,Rourkela,Orissa,Central
5632,2021,Web developer,CSE/IT,Puri,Orissa,Central
5633,2020,Material engineer,CHEM,Dehradun,Uttarakhand,North
5634,2013,technician,CHEM,Gurgaon,Haryana,West
5635,2013,Telecommunication engineer,EEE,Noida,Uttar Pradesh,North
5636,2021,Controls engineer,EEE,Howrah,West Bengal,East
5637,2015,Drafter,CIV,Lucknow,Uttar Pradesh,North
5638,2016,Thermal engineer,MEC,Srinagar,Jammu and Kashmir,North
5639,2020,Chemical engineer,CHEM,Puri,Orissa,Central
5640,2021,Material engineer,CHEM,Jamshedpur,Jharkhnad,Central
5641,2017,Process design engineer,CHEM,Raigarh,Chattisgarh,Central
5642,2013,Electrical engineer,EEE,Dhanbad,Jharkhnad,Central
5643,2013,Construction engineer,MEC,Mumbai,Maharashtra,Central
5644,2016,Engineering management,CIV,Gangtok,Seven Sisters,East
5645,2013,Web developer,CSE/IT,Raipur,Chattisgarh,Central
5646,2015,AI engineer,CSE/IT,Dharwad,Karnataka,South
5647,2014,Manufacturing engineer,MEC,Nagpur,Maharashtra,Central
5648,2019,Transportation engineer,CIV,Shillong,Seven Sisters,East
5649,2011,Software analyst,ECE,Vellore,Tamil Nadu,South
5650,2013,Electrical engineer,EEE,Durgapur,West Bengal,East
